survid,TOTALWGT,var001,var002,var003,var004,var005,var006,var007,var008,var009,var010,var011,var012,var013,var014,var015,var016,var017,var018,var019,var020,var021,var022,var023,var024,var025,var026,var027,var028,var029,var030,var031,var032,var033,var034,var035,var036,var037,var038,var041,var048,var049,var050,var051,var052,var053,var054,var055,var056,var057,var059,var060,var061,var062,var063,var064,var069,var301,var302,var305,var310,var311
4569,0.53,4,1,2,1,3,3,4,3,1,2,5,3,2,,,,,10,1,2,1,1,20,2,1,4,52,1,4,28,12,6,1,1,2,7,1,13,1,2,1,2,1,,1,1,1,1,,2,2,3,1,2,3,2,3,4,2,2,2
4575,0.53,4,1,2,1,2,2,2,3,2,3,4,4,2,,,,,2,1,2,1,1,10,1,88,2,57,1,2,36,12,6,1,1,2,7,1,20,2,1,1,2,2,,2,1,1,1,,2,2,4,1,2,3,2,1,1,1,5,2
4592,0.54,4,1,2,2,3,2,3,3,2,2,,,1,2,17,,,88,2,2,2,3,88,,,4,56,1,2,22,12,6,1,1,2,7,6,99,2,2,2,2,2,,2,1,1,1,,2,2,4,1,,,1,2,3,2,,2
4614,1.65,4,1,1,2,1,3,2,3,3,1,3,3,2,,,,,2,1,3,3,4,88,,,4,53,2,2,30,12,6,1,1,2,7,2,17,2,2,2,2,2,,2,1,1,1,,1,2,3,1,2,3,2,2,2,1,,2
4630,0.89,4,1,2,2,1,1,1,3,3,3,1,1,2,,,,,88,1,1,1,,88,,,2,88,1,1,40,12,1,,2,2,7,1,2,2,1,2,2,2,,2,,1,1,,2,3,5,1,1,2,2,1,1,1,2,2
4672,1.65,4,1,1,2,3,2,3,3,3,3,3,3,2,,,,,88,1,3,3,3,15,1,88,3,60,2,2,30,12,6,1,1,2,7,1,16,2,1,1,2,2,,2,1,1,1,,1,2,4,1,2,3,2,2,4,1,5,2
4716,0.67,4,1,2,2,2,3,3,3,3,3,2,4,2,,,,,88,1,2,3,1,14,1,88,3,65,1,4,42,12,1,,1,2,7,1,99,2,1,1,2,2,,2,,1,1,,2,3,5,1,,,2,2,1,1,4,2
4761,0.53,4,1,2,2,2,2,2,3,3,3,2,2,1,1,,,,1,1,1,2,1,2,1,88,2,46,1,5,23,12,6,2,1,2,7,1,19,2,1,1,2,2,,2,2,1,1,,2,2,3,1,2,3,2,2,2,2,2,2
4769,1.65,4,1,1,1,1,1,1,3,3,3,1,1,2,,,,,88,1,1,1,2,3,1,88,3,58,2,2,58,12,6,1,1,2,7,1,14,2,1,1,2,2,,2,1,1,1,,1,2,4,1,2,3,2,1,1,1,3,2
4843,2.35,4,1,1,1,2,2,3,3,3,3,2,3,2,,,,,2,1,1,3,2,1,1,88,4,44,2,5,44,12,6,1,1,1,,3,19,2,2,1,2,2,,2,1,1,1,,1,2,2,3,2,3,2,1,2,2,4,2
4900,0.66,4,1,2,2,1,2,2,3,3,3,2,3,2,,,,,88,1,2,3,2,30,2,88,3,70,1,2,7,12,1,,1,2,7,8,20,2,1,1,1,2,,1,,1,1,,2,3,5,1,2,3,2,1,2,2,,2
4905,2.07,4,1,1,1,1,3,2,2,3,2,2,2,2,,,,,88,2,2,2,2,30,2,88,4,77,2,2,40,12,1,,1,2,7,8,17,2,2,1,1,2,,1,,1,1,,1,3,5,1,2,3,2,2,1,1,,2
